latitude,longitude
-33.0074129,-71.5046338
-24.6785216,-65.1046597
-24.8254717,-65.4282581
-24.7973763,-65.4224544
-24.741101,-65.4096419
-24.8104572,-65.4459294
-24.7620596,-65.3941935
-24.7742461,-65.4230677
40.4050269,-3.6883126
-24.7400242,-65.4945073
-24.8159275,-65.4582045
-24.7823578,-65.4019184
-24.7849506,-65.4159206
-23.3237056,-64.224542
-24.7562276,-65.3953447
-24.7550482,-65.4031321
-34.6017475,-58.395692
-24.8193004,-65.3963465
-25.1172791,-64.1221053
-24.8016976,-65.4004101
-25.487532,-64.9760616
-16.489689,-68.1192936
-25.507645,-64.9646353
-25.4942245,-64.9721298
-24.5385625,-64.1007348
-24.8458074,-65.4376023
-24.8455467,-65.4411433
-24.7764181,-65.4174433
-24.8445533,-65.4338515
-24.7340175,-65.4077801
-25.7911763,-64.9591294
-23.3942229,-64.4257446
-22.7913886,-65.2159331
-25.8053038,-64.9804861
-24.8053148,-65.4106126
-24.7962587,-65.4395649
-24.7782342,-65.418047
-24.8141609,-65.4351772
-24.9736984,-65.5811632
-24.8796523,-65.5905136
-23.8008447,-56.5028019
-24.8268696,-65.3901499
13.8764872,-89.6745683
-24.7972744,-65.4073715
-24.8445717,-65.4338688
-24.7897423,-65.4474364
-24.786541,-65.4204712
-25.4923298,-64.9770275
-24.8030121,-65.4071649
37.7749295,-122.4194155
-24.7684259,-65.4027679
-23.2198396,-45.8915658
-24.7484215,-65.4096847
-24.8439477,-65.4358519
-24.7910704,-65.4226988
-24.8006619,-65.4525342
-25.3350177,-64.0203029
-37.8956594,-65.0957792
-24.9683404,-65.4873994
-24.8977138,-65.4844451
-24.8927162,-65.4840616
-24.8711494,-65.5444787
-24.8067332,-65.4087213
-24.7234449,-65.4221411
-24.7821269,-65.4231977
-24.7187679,-65.3963017
-24.9957149,-65.4385078
-24.767003,-65.3995116
-24.8272809,-65.3892466
-24.7683142,-65.38668
-33.0072762,-71.2599351
-24.7892723,-65.3925136
-24.7957628,-65.4146203
-24.7863684,-65.4262862
-24.7675734,-65.4020886
-25.2637399,-57.575926
-25.5061123,-64.9744503
-22.5120037,-63.798752
-24.8503958,-65.44389
-24.8406571,-65.4628646
-24.7923156,-65.4399013
-22.5277645,-63.8015555
-24.8933358,-65.4739027
-24.7836984,-65.4273965
-1.831239,-78.183406
41.2033216,-77.1945247
-16.3905543,-71.5656413
-24.8409382,-65.4579309
-25.7976345,-64.9687501
-24.7688276,-65.3989797
-24.7929432,-65.4154771
-24.8052665,-65.3853495
-22.2725026,-62.7125106
-24.7899816,-65.409385
-24.7989517,-65.4263879
-24.7812447,-65.4153432
18.523013,-69.7372563
-31.3977972,-57.9822357
-24.8114097,-65.3766971
-22.5162038,-63.8076848
-24.8269934,-65.4178701
-24.7854785,-65.4189848
-24.7986723,-65.4265271
-22.518396,-63.7970222
-24.6816552,-65.1032998
-24.7685146,-65.4114935
-24.6625955,-65.1059072
-24.8049276,-65.3973811
-24.7594181,-65.4052704
33.5731104,-7.5898434
-23.128383,-64.3216987
-24.6704533,-65.0490974
-24.7388723,-65.4058573
-24.7707077,-65.3895074
-24.793626,-65.4402029
-42.9095281,-71.3143117
-22.516213,-63.7800592
-24.795191,-65.4349249
-24.2236819,-66.3237427
-36.967222,-69.7937775
-24.6821861,-65.4091465
-25.3315165,-64.0196714
-24.7577652,-65.406239
-26.0730798,-65.976052
-23.3120734,-64.2234041
-24.8375028,-65.4826879
-24.7742117,-65.4329961
-24.7229968,-66.2010128
-24.7656783,-65.3966946
-24.776634,-65.4263055
-24.7892977,-65.4166743
-25.1172835,-64.1247331
-24.8128426,-65.4290535
-24.8454162,-65.4490631
-24.7956461,-65.4276133
-25.3814381,-64.6562283
-24.7763655,-65.417479
-25.5118729,-64.9672891
-24.787663,-65.4488108
-24.7694782,-65.3889348
-24.7847783,-65.4132717
-24.7877055,-65.4176547
-24.7905248,-65.4004599
-24.7635214,-65.4021305
-24.8101078,-65.4111412
-24.8087834,-65.4071322
-24.7915452,-65.3753633
-24.7941934,-65.4482652
-24.6684923,-65.0497503
-24.8144261,-65.4508637
-24.7873667,-65.4373152
-25.7871398,-64.9650328
-24.772868,-65.4023309
-24.7697862,-65.4476588
-22.5113755,-63.7978929
-24.6715179,-65.0605825
-22.6027462,-63.8163993
-24.7674996,-65.3959507
-23.2012426,-64.0861832
-34.6340099,-58.791382
-24.7821342,-65.4053853
-24.8075548,-65.4006253
-23.2133636,-64.1011465
-24.7315696,-65.406242
-25.1177749,-64.1352808
-25.1192663,-64.127344
40.4643606,17.2470303
-24.8292625,-65.4167079
-27.7417464,-64.2562904
-25.3831583,-64.6602873
-25.382172,-64.6541297
-24.7782857,-65.426525
-24.9584639,-65.4985224
-34.4515201,-58.539503
-24.8176549,-64.1776179
-24.2191898,-66.3211702
-29.3791028,-65.2915344
-39.032803,-67.5892227
-33.5105866,-70.7572607
-24.8038497,-65.4400409
38.5756136,-2.6331952
-25.0726405,-65.4936971
-23.323063,-64.2269335
-23.3136054,-64.224253
-26.0651321,-65.9814311
-24.8053703,-65.4114638
-24.8562553,-65.460468
-23.2068588,-64.0936904
-24.7801815,-65.4192767
39.6597178,-0.2251398
-24.8145358,-65.4544071
-24.788404,-65.499132
-32.9011061,-60.7054235
-24.8378776,-65.3794111
-24.8033624,-65.4144852
-24.8430802,-65.3883211
-24.7683984,-65.3860218
-24.7666947,-65.4027443
-24.7845779,-65.4308046
40.4167234,-3.7033851
-24.7866728,-65.4031892
-24.772192,-65.4309961
-24.7381435,-65.4054528
-24.7700339,-65.4267656
-25.1049478,-65.5324903
-24.7543235,-65.4089058
-24.8171349,-65.4140905
-24.8221966,-65.4023521
-38.5544968,-58.7396088
-24.8057022,-65.4035528
-24.8285974,-65.3952393
-24.7947853,-65.4268957
-24.7739602,-65.3946644
-24.7306607,-65.4872108
-24.7733352,-65.4431745
-24.7679229,-65.3885783
-22.5110733,-63.7954504
-24.7892672,-65.430284
